#TYPE Selected.Microsoft.ActiveDirectory.Management.ADComputer
"distinguishedName";"Name";"OperatingSystem";"OperatingSystemVersion";"description";"OperatingSystemServicePack";"IPv4Address";"LastLogonDate";"PasswordLastSet"
"CN=MESCAVESGAROU,CN=Computers,DC=sabc,DC=cm";"MESCAVESGAROU";"Windows Server 2019 Standard";"10.0 (17763)";"Serveur MES -WINSRV2019-10.99.7.134";;"10.99.7.134";"29/09/2025 15:35:32";
"CN=SABCGEDO201,CN=Computers,DC=sabc,DC=cm";"SABCGEDO201";"Windows Server 2019 Standard";"10.0 (17763)";"Gestion des doleances/reclamationss-WINSRV2019-10.100.1.50";;"10.100.1.50";"01/10/2025 05:51:41";
"CN=BALIDOMC006,OU=Domain Controllers,DC=sabc,DC=cm";"BALIDOMC006";"Windows Server 2019 Standard";"10.0 (17763)";"Active Directory-WINSRV2019-10.103.240.33";;"10.103.240.33";"29/09/2025 00:15:56";
"CN=BALIDOMC007,OU=Domain Controllers,DC=sabc,DC=cm";"BALIDOMC007";"Windows Server 2019 Standard";"10.0 (17763)";"Active Directory-WINSRV2019-10.103.240.34";;"10.103.240.34";"27/09/2025 07:48:02";
"CN=BAFOUSIN003,CN=Computers,DC=sabc,DC=cm";"BAFOUSIN003";"Windows Server 2019 Standard";"10.0 (17763)";"SERVEUR DI-WINSRV2019-10.98.7.172";;"10.253.130.8";"27/09/2025 13:36:15";
"CN=SABCDIMO103,CN=Computers,DC=sabc,DC=cm";"SABCDIMO103";"Windows Server 2019 Standard";"10.0 (17763)";"DIMOMAINT-WINSRV2019-10.100.1.220";;;"24/05/2025 16:22:17";
"CN=SABCSQCAIS101,CN=Computers,DC=sabc,DC=cm";"SABCSQCAIS101";"Windows Server 2019 Standard";"10.0 (17763)";"DIGITALISATION CAISSE-WINSRV2019-10.100.1.95";;"10.100.1.95";"25/09/2025 23:57:06";
"CN=SOCAECOSYS101,CN=Computers,DC=sabc,DC=cm";"SOCAECOSYS101";"Windows Server 2019 Standard";"10.0 (17763)";"SOCAVER-WINSRV2019-10.102.1.35";;"10.102.1.35";"27/09/2025 07:23:13";
"CN=BAFOMOS101,CN=Computers,DC=sabc,DC=cm";"BAFOMOS101";"Windows Server 2019 Standard";"10.0 (17763)";"Edition MOS-WINSRV19-10.98.1.3";;"10.98.1.3";"21/09/2025 12:28:54";
"CN=PONTBRASGUIN,CN=Computers,DC=sabc,DC=cm";"PONTBRASGUIN";"Windows Server 2019 Standard";"10.0 (17763)";"Pont-Bascule-WINSRV2019-10.102.1.36";;"10.102.1.36";"29/09/2025 22:08:25";
"CN=SABCSHAR101,CN=Computers,DC=sabc,DC=cm";"SABCSHAR101";"Windows Server 2019 Standard";"10.0 (17763)";"QUALISHARE-WINSRV2019-10.100.1.42";;"10.100.1.42";"30/09/2025 04:40:12";
"CN=SABCSHAR102,CN=Computers,DC=sabc,DC=cm";"SABCSHAR102";"Windows Server 2019 Standard";"10.0 (17763)";"QUALISHARE-WINSRV2019-10.100.1.63";;"10.100.1.63";"30/09/2025 00:25:35";
"CN=SABCSHAR103,CN=Computers,DC=sabc,DC=cm";"SABCSHAR103";"Windows Server 2019 Standard";"10.0 (17763)";"QUALISHARE-WINSRV2019-10.100.1.67";;"10.100.1.67";"30/09/2025 05:18:45";
"CN=SABCSQSHAR101,CN=Computers,DC=sabc,DC=cm";"SABCSQSHAR101";"Windows Server 2019 Standard";"10.0 (17763)";"QUALISHARE-WINSRV2019-10.100.1.71";;"10.103.244.44";"28/09/2025 17:33:07";
"CN=SABCBI201,CN=Computers,DC=sabc,DC=cm";"SABCBI201";"Windows Server 2019 Standard";"10.0 (17763)";"BI-WINSRV2019-10.100.1.97";;"10.100.1.97";"24/09/2025 16:43:54";
"CN=LDSDATABASE,CN=Computers,DC=sabc,DC=cm";"LDSDATABASE";"Windows Server 2019 Standard";"10.0 (17763)";"SERVEUR DI-WINSRV2019-10.98.7.174";;"10.98.7.174";"26/09/2025 00:16:46";
"CN=LDSAPPLICATION,CN=Computers,DC=sabc,DC=cm";"LDSAPPLICATION";"Windows Server 2019 Standard";"10.0 (17763)";"SERVEUR DI-WINSRV2019-10.98.7.175";;"10.98.7.175";"23/09/2025 14:26:01";
"CN=DTIPROJECT001,CN=Computers,DC=sabc,DC=cm";"DTIPROJECT001";"Windows Server 2019 Standard";"10.0 (17763)";"SERVEUR DI-WINSRV2019-10.96.7.181";;"10.96.7.181";"21/09/2025 21:52:38";
"CN=SABCEBICS102,CN=Computers,DC=sabc,DC=cm";"SABCEBICS102";"Windows Server 2019 Standard";"10.0 (17763)";"rapprochement-bancaireWINSRV2019-10.100.1.77";;"10.100.1.77";"28/09/2025 00:15:08";
"CN=YAOUBI101,CN=Computers,DC=sabc,DC=cm";"YAOUBI101";"Windows Server 2019 Standard";"10.0 (17763)";"BI-WINSRV2019-10.97.1.41";;"10.97.246.129";"22/09/2025 09:39:32";
"CN=SABCIA101,CN=Computers,DC=sabc,DC=cm";"SABCIA101";"Windows Server 2019 Standard";"10.0 (17763)";"IA-WINSRV2019-10.100.1.250";;"10.100.1.250";"22/09/2025 22:04:23";
"CN=SABCIA601,CN=Computers,DC=sabc,DC=cm";"SABCIA601";"Windows Server 2019 Standard";"10.0 (17763)";"IA-DEV-WINSRV2019-10.97.1.42";;"10.97.246.130";"26/09/2025 22:53:55";
"CN=SABCERP101,CN=Computers,DC=sabc,DC=cm";"SABCERP101";"Windows Server 2016 Standard";"10.0 (14393)";"D?ploiement-ERP-M3-WINSRV16-10.100.1.43";;"10.100.1.43";"26/09/2025 02:50:23";
"CN=SABCSHAR601,CN=Computers,DC=sabc,DC=cm";"SABCSHAR601";"Windows Server 2019 Standard";"10.0 (17763)";"QUALISHARE-DEV-WINSRV2019-10.100.1.249";;"10.103.246.9";"22/09/2025 11:53:12";
"CN=MESCONDNDOKO,CN=Computers,DC=sabc,DC=cm";"MESCONDNDOKO";"Windows Server 2019 Standard";"10.0 (17763)";"Serveur MES -WINSRV2019-10.96.7.146";;"10.96.7.146";"28/09/2025 02:09:38";
"CN=SABCCACC101,CN=Computers,DC=sabc,DC=cm";"SABCCACC101";"Windows Server 2019 Standard";"10.0 (17763)";"CONTROLE D ACCES -WINSV2019-10.100.1.235";;"10.100.1.235";"25/09/2025 16:53:46";
"CN=SABCSHAR104,CN=Computers,DC=sabc,DC=cm";"SABCSHAR104";"Windows Server 2019 Standard";"10.0 (17763)";"QUALISHARE-WINSRV2019-10.100.1.218";;"10.103.244.7";"23/09/2025 03:11:51";
"CN=NDOKUSIN003,CN=Computers,DC=sabc,DC=cm";"NDOKUSIN003";"Windows Server 2019 Standard";"10.0 (17763)";"SERVEUR INDUSTRIEL -VMWARE-NDOKUSIN002";;"10.253.110.12";"21/09/2025 17:04:08";
"CN=MESCONDNDOK1,CN=Computers,DC=sabc,DC=cm";"MESCONDNDOK1";"Windows Server 2019 Standard";"10.0 (17763)";;;;"07/06/2025 11:24:54";
"CN=EFISERVEUR,CN=Computers,DC=sabc,DC=cm";"EFISERVEUR";"Windows Server 2019 Standard";"10.0 (17763)";;;"10.98.7.176";"26/09/2025 03:28:54";
"CN=LDS-DATA,CN=Computers,DC=sabc,DC=cm";"LDS-DATA";"Windows Server 2019 Standard";"10.0 (17763)";;;"10.98.7.177";"30/09/2025 01:57:18";
"CN=EFISERVEUR2,CN=Computers,DC=sabc,DC=cm";"EFISERVEUR2";"Windows Server 2019 Standard";"10.0 (17763)";;;"10.98.7.178";"29/09/2025 11:08:58";
"CN=SABCDARE101,CN=Computers,DC=sabc,DC=cm";"SABCDARE101";"Windows Server 2019 Standard";"10.0 (17763)";;;"10.100.1.214";"27/09/2025 03:23:22";
"CN=LDSDATAL16,CN=Computers,DC=sabc,DC=cm";"LDSDATAL16";"Windows Server 2019 Standard";"10.0 (17763)";;;"10.96.7.182";"24/09/2025 12:43:21";
"CN=YAOUSIN001,CN=Computers,DC=sabc,DC=cm";"YAOUSIN001";"Windows Server 2019 Standard";"10.0 (17763)";;;"10.97.7.186";"28/09/2025 19:52:39";
"CN=MESCONDKOUMA,CN=Computers,DC=sabc,DC=cm";"MESCONDKOUMA";"Windows Server 2019 Standard";"10.0 (17763)";;;"10.96.75.136";"27/09/2025 14:34:59";
"CN=SABCDIMO110,CN=Computers,DC=sabc,DC=cm";"SABCDIMO110";"Windows Server 2019 Standard";"10.0 (17763)";;;"10.103.244.20";"30/09/2025 18:09:29";
"CN=CM01EDGE102,CN=Computers,DC=sabc,DC=cm";"CM01EDGE102";"Windows Server 2019 Standard";"10.0 (17763)";;;"10.103.240.38";"26/09/2025 10:03:08";
"CN=YAOUSINE001,CN=Computers,DC=sabc,DC=cm";"YAOUSINE001";"Windows Server 2019 Standard";"10.0 (17763)";;;"10.97.7.129";"24/09/2025 09:54:26";
"CN=BALIBI101,OU=serveurs BI,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"BALIBI101";"Windows Server 2019 Datacenter";"10.0 (17763)";"BI-Service d'aide ? la d?cision-WINSRV19-10.100.1.64";;"10.103.244.1";"29/09/2025 01:52:33";
"CN=BAFOUSIN002,CN=Computers,DC=sabc,DC=cm";"BAFOUSIN002";"Windows Server 2019 Standard";"10.0 (17763)";;;"10.98.7.129";"21/09/2025 22:31:32";
"CN=MESCONDSEMC,CN=Computers,DC=sabc,DC=cm";"MESCONDSEMC";"Windows Server 2019 Standard";"10.0 (17763)";;;"10.102.127.2";"25/09/2025 03:05:00";
"CN=VEEAMBACKUP,CN=Computers,DC=sabc,DC=cm";"VEEAMBACKUP";"Windows Server 2019 Standard";"10.0 (17763)";;;"10.100.1.169";"21/09/2025 15:06:29";
"CN=VEEAMSERVERBAF,CN=Computers,DC=sabc,DC=cm";"VEEAMSERVERBAF";"Windows Server 2019 Standard";"10.0 (17763)";;;;"15/06/2025 10:36:45";
"CN=VEEAMSERVERYAO,CN=Computers,DC=sabc,DC=cm";"VEEAMSERVERYAO";"Windows Server 2019 Standard";"10.0 (17763)";;;;"05/07/2025 12:37:30";
"CN=VEEAMSERVERGARO,CN=Computers,DC=sabc,DC=cm";"VEEAMSERVERGARO";"Windows Server 2019 Standard";"10.0 (17763)";;;"10.99.7.195";"23/09/2025 20:23:11";
"CN=VEEAMSERVERNDOK,CN=Computers,DC=sabc,DC=cm";"VEEAMSERVERNDOK";"Windows Server 2019 Standard";"10.0 (17763)";;;"10.96.7.191";"24/09/2025 13:29:37";
"CN=VEEAMSERVERBAFO,CN=Computers,DC=sabc,DC=cm";"VEEAMSERVERBAFO";"Windows Server 2019 Standard";"10.0 (17763)";;;"10.98.7.196";"23/09/2025 16:20:11";
"CN=VEEAMSERVERYAOU,CN=Computers,DC=sabc,DC=cm";"VEEAMSERVERYAOU";"Windows Server 2019 Standard";"10.0 (17763)";;;"10.97.7.199";"21/09/2025 20:31:35";
"CN=MESSGXFRE,CN=Computers,DC=sabc,DC=cm";"MESSGXFRE";"Windows Server 2019 Standard";"10.0 (17763)";;;;"18/06/2025 10:17:12";
"CN=GAROUSINE002,CN=Computers,DC=sabc,DC=cm";"GAROUSINE002";"Windows Server 2019 Standard";"10.0 (17763)";;;"10.99.7.202";"30/09/2025 20:49:26";
"CN=NDOKUSIN002,CN=Computers,DC=sabc,DC=cm";"NDOKUSIN002";"Windows Server 2019 Standard";"10.0 (17763)";;;"10.96.7.131";"30/09/2025 23:02:31";
"CN=GAROUSINE001,CN=Computers,DC=sabc,DC=cm";"GAROUSINE001";"Windows Server 2019 Standard";"10.0 (17763)";;;"10.99.7.129";"21/09/2025 08:24:22";
"CN=BALIPCUT001,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"BALIPCUT001";"Windows Server 2019 Standard";"10.0 (17763)";"Edition Bureautique -WINSRV19-10.100.1.219";;"10.100.1.219";"25/09/2025 07:59:13";
"CN=LDSAPPLIL16,CN=Computers,DC=sabc,DC=cm";"LDSAPPLIL16";"Windows Server 2019 Standard";"10.0 (17763)";;;;"29/09/2025 07:18:04";
"CN=BALIFICH101,OU=Serveurs,DC=sabc,DC=cm";"BALIFICH101";"Windows Server 2019 Standard";"10.0 (17763)";;;"10.100.1.200";"28/09/2025 17:31:26";
"CN=SABCBI601,CN=Computers,DC=sabc,DC=cm";"SABCBI601";"Windows Server 2019 Standard";"10.0 (17763)";;;"10.100.1.249";"21/09/2025 10:51:23";
"CN=SABCAZMIG101,CN=Computers,DC=sabc,DC=cm";"SABCAZMIG101";"Windows Server 2019 Standard";"10.0 (17763)";;;"10.100.1.180";"22/09/2025 09:56:59";
